<b>mettre</b>	to put
<div class=centered-block> 1. Avant tout, plus que toute autre chose.<div>2.&nbsp;Plus particulièrement.</div> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adverbe</div> 	<div style='font-weight: bold;'>surtout</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Surtout ne dites rien&nbsp;!</div>
<div style='font-weight: bold;'>selon</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>préposition</div>	<div class=centered-block> 1.&nbsp;En se conformant à.<div>2. Si l'on se rapporte à.</div> </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Faire qqch. selon les règles.&nbsp;Selon l'expression consacrée.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>conformément à,&nbsp;suivant</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>according to, depending on</div>
<div class=centered-block> 1.&nbsp;En se conformant à.<div>2. Si l'on se rapporte à.</div> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>préposition</div> 	<div style='font-weight: bold;'>selon</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Faire qqch. selon les règles.&nbsp;Selon l'expression consacrée.</div>
<div style='font-weight: bold;'>rapporter</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div>	<div class=centered-block> 1.&nbsp;Apporter (une chose qui avait été déplacée) à l'endroit initial, ou à la personne à laquelle on l'avait empruntée.<div>2.&nbsp;Apporter (qqch.) d'un lieu en revenant.<br><div>3.&nbsp;Ajouter (une chose) pour compléter qqch.</div><div>4. Produire comme gain, bénéfice.</div></div> </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Tu rapporteras du pain.&nbsp;Rapporter un revenu.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>restituer,&nbsp;ramener,&nbsp;remettre ;&nbsp;produire ;&nbsp;raconter</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>return, bring back, yield</div>
<div class=centered-block> 1.&nbsp;Apporter (une chose qui avait été déplacée) à l'endroit initial, ou à la personne à laquelle on l'avait empruntée.<div>2.&nbsp;Apporter (qqch.) d'un lieu en revenant.<br><div>3.&nbsp;Ajouter (une chose) pour compléter qqch.</div><div>4. Produire comme gain, bénéfice.</div></div> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div> 	<div style='font-weight: bold;'>rapporter</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Tu rapporteras du pain.&nbsp;Rapporter un revenu.</div>
<div style='font-weight: bold;'>raconter</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div>	<div class=centered-block> Exposer par un récit.&nbsp;Décrire, dépeindre. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Raconter une histoire.&nbsp;</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>dire,&nbsp;décrire</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>tell, recount</div>
<div class=centered-block> Exposer par un récit.&nbsp;Décrire, dépeindre. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div> 	<div style='font-weight: bold;'>raconter</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Raconter une histoire.&nbsp;</div>
<div style='font-weight: bold;'>se rapporter</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe pronominal</div>	<div class=centered-block> Avoir rapport (à), être en relation (avec). </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>La réponse ne se rapporte pas à la question.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>concerner</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>relate, concern</div>
<div class=centered-block> Avoir rapport (à), être en relation (avec). </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe pronominal</div> 	<div style='font-weight: bold;'>se rapporter</div> <br/> <div style='font-family: Arial; font-size: 16px;'>La réponse ne se rapporte pas à la question.</div>
je <b>monter </b>qqch (passé composé)	j'ai monté qqch
elle&nbsp;<b>descendre </b>qqch (passé composé)	elle a descendu / elle est descendue
je <b>aller </b>(futur simple)	j'irai
tu&nbsp;<b>aller&nbsp;</b>(futur simple)	tu iras
il&nbsp;<b>aller&nbsp;</b>(futur simple)	il ira
nous&nbsp;<b>aller&nbsp;</b>(futur simple)	nous irons
vous&nbsp;<b>aller&nbsp;</b>(futur simple)	vous irez
ils&nbsp;<b>aller&nbsp;</b>(futur simple)	ils iront
ils&nbsp;<b>aller&nbsp;</b>(imparfait)	ils allaient
nous <b>aller </b>(imparfait)	nous allions
<div style='font-weight: bold;'>fait (II 2)</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom masculin</div>	<div class=centered-block> Ce qui existe réellement (opposé à l'idée, au rêve, etc.).&nbsp; </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>S'incliner devant les faits.&nbsp;Juger sur, d'après les faits.&nbsp;—&nbsp;&nbsp;C'est un fait,&nbsp;c'est certain, vrai.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>réalité,&nbsp;réel</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>fact</div>
<div class=centered-block> Ce qui existe réellement (opposé à l'idée, au rêve, etc.).&nbsp; </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom masculin</div> 	<div style='font-weight: bold;'>fait (II 2)</div> <br/> <div style='font-family: Arial; font-size: 16px;'>S'incliner devant les faits.&nbsp;Juger sur, d'après les faits.&nbsp;—&nbsp;&nbsp;C'est un fait,&nbsp;c'est certain, vrai.</div>
<div style='font-weight: bold;'>caractériser</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div>	<div class=centered-block> Définir avec précision, mettre en relief les caractères distinctifs de (qqn, qqch.). Constituer le caractère ou l'une des caractéristiques de. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>La gentillesse qui le caractérise.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>distinguer,&nbsp;marquer,&nbsp;préciser,&nbsp;définir,&nbsp;déterminer</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>characterize</div>
<div class=centered-block> Définir avec précision, mettre en relief les caractères distinctifs de (qqn, qqch.). Constituer le caractère ou l'une des caractéristiques de. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div> 	<div style='font-weight: bold;'>caractériser</div> <br/> <div style='font-family: Arial; font-size: 16px;'>La gentillesse qui le caractérise.</div>
<div style='font-weight: bold;'>gentillesse</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div>	<div class=centered-block> Qualité d'une personne gentille. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Il a eu la gentillesse de m'aider.&nbsp;Toutes les gentillesses qu'il a eues pour moi.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>amabilité,&nbsp;complaisance,&nbsp;obligeance</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>kindness</div>
<div class=centered-block> Qualité d'une personne gentille. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div> 	<div style='font-weight: bold;'>gentillesse</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Il a eu la gentillesse de m'aider.&nbsp;Toutes les gentillesses qu'il a eues pour moi.</div>
<div style='font-weight: bold;'>gentil(le)</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adjectif</div>	<div class=centered-block> Qui plaît par sa grâce.&nbsp;Qui plaît par sa délicatesse morale, sa douceur.&nbsp; </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Une gentille petite robe.&nbsp;Une très gentille lettre.&nbsp;Vous êtes trop gentil.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>agréable,&nbsp;aimable,&nbsp;mignon, délicat,&nbsp;généreux,&nbsp;obligeant</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>nice, kind</div>
<div class=centered-block> Qui plaît par sa grâce.&nbsp;Qui plaît par sa délicatesse morale, sa douceur.&nbsp; </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adjectif</div> 	<div style='font-weight: bold;'>gentil(le)</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Une gentille petite robe.&nbsp;Une très gentille lettre.&nbsp;Vous êtes trop gentil.</div>
<div style='font-weight: bold;'>doux, douce</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adjectif</div>	<div class=centered-block> Qui a un goût faible ou sucré.&nbsp;Non salé. Souple.&nbsp;Qui procure une jouissance calme et délicate.&nbsp;&nbsp; </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Eau douce.&nbsp;Avoir la vie douce.&nbsp;Voix douce.&nbsp;</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>moelleux, tempéré,&nbsp;agréable, clément</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>soft, mild, gentle, easy</div>
<div class=centered-block> Qui a un goût faible ou sucré.&nbsp;Non salé. Souple.&nbsp;Qui procure une jouissance calme et délicate.&nbsp;&nbsp; </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adjectif</div> 	<div style='font-weight: bold;'>doux, douce</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Eau douce.&nbsp;Avoir la vie douce.&nbsp;Voix douce.&nbsp;</div>
<div style='font-weight: bold;'>moelleux,&nbsp;moelleuse</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adjectif &amp; nom masculin</div>	<div class=centered-block> Qui a de la douceur et de la mollesse au toucher.&nbsp;Agréable au palais, au goût.&nbsp; </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Étoffe moelleuse. Un moelleux au chocolat.&nbsp;Un vin moelleux.&nbsp;</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>doux,&nbsp;mou,&nbsp;savoureux</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>soft, mellow</div>
<div class=centered-block> Qui a de la douceur et de la mollesse au toucher.&nbsp;Agréable au palais, au goût.&nbsp; </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adjectif &amp; nom masculin</div> 	<div style='font-weight: bold;'>moelleux,&nbsp;moelleuse</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Étoffe moelleuse. Un moelleux au chocolat.&nbsp;Un vin moelleux.&nbsp;</div>
<div style='font-weight: bold;'>frontière</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div>	<div class=centered-block> Limite d'un territoire, ou séparant deux États.&nbsp;Limite, séparation. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Frontières naturelles&nbsp;(obstacle géographique).&nbsp;Postes de police et de douane installés à la frontière.&nbsp;—&nbsp;&nbsp;Incident de frontière.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>démarcation,&nbsp;bordure,&nbsp;confins</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>border</div>
<div class=centered-block> Limite d'un territoire, ou séparant deux États.&nbsp;Limite, séparation. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div> 	<div style='font-weight: bold;'>frontière</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Frontières naturelles&nbsp;(obstacle géographique).&nbsp;Postes de police et de douane installés à la frontière.&nbsp;—&nbsp;&nbsp;Incident de frontière.</div>
<div style='font-weight: bold;'>citoyen,&nbsp;citoyenne</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom &amp; adjectif</div>	<div class=centered-block> I. Individu considéré du point de vue de ses droits politiques.<br>II. adj. Qui fait preuve d'esprit civique.&nbsp; </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Un citoyen français et un sujet britannique. Une attitude citoyenne.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>civique,&nbsp;patriotique,&nbsp;ressortissant,&nbsp;national</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>citizen</div>
<div class=centered-block> I. Individu considéré du point de vue de ses droits politiques.<br>II. adj. Qui fait preuve d'esprit civique.&nbsp; </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom &amp; adjectif</div> 	<div style='font-weight: bold;'>citoyen,&nbsp;citoyenne</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Un citoyen français et un sujet britannique. Une attitude citoyenne.</div>
<div style='font-weight: bold;'>devenir (v)</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe intransitif</div>	<div class=centered-block> Passer d'un état à (un autre), commencer à être (ce qu'on n'était pas). </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Devenir grand, riche, célèbre.&nbsp;Il est devenu fou.&nbsp;Devenir ministre.&nbsp;Elle est devenue sa femme.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>se transformer en,&nbsp;se métamorphoser en</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>become</div>
<div class=centered-block> Passer d'un état à (un autre), commencer à être (ce qu'on n'était pas). </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe intransitif</div> 	<div style='font-weight: bold;'>devenir (v)</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Devenir grand, riche, célèbre.&nbsp;Il est devenu fou.&nbsp;Devenir ministre.&nbsp;Elle est devenue sa femme.</div>
je <b>venir </b>(présent)	je viens
tu <b>venir&nbsp;</b>(présent)	tu viens
il <b>venir</b>&nbsp;(présent)	il vient
nous <b>venir</b>&nbsp;(présent)	nous venons
vous <b>venir </b>(présent)	vous venez
ils <b>venir </b>(présent)	ils viennent
je <b>devenir </b>(passé composé)	je suis devenu
tu <b>devenir </b>(passé composé)	tu es devenu(e)
elle <b>devenir </b>(passé composé)	elle est devenue
elles <b>devenir </b>(passé composé)&nbsp;	elles sont devenues
vous <b>devenir </b>(imparfait)	vous deveniez
elle <b>devenir </b>(imparfait)	elle devenait
je&nbsp;<b>venir&nbsp;</b>(imparfait)	je venais
ils <b>venir&nbsp;</b>(imparfait)	ils venaient
nous <b>venir&nbsp;</b>(passé composé)	nous sommes venus/venues
je <b>mettre </b>(présent)	je mets
tu <b>mettre </b>(présent)	tu mets
il&nbsp;<b>mettre&nbsp;</b>(présent)	il met
nous&nbsp;<b>mettre&nbsp;</b>(présent)	nous mettons
vous&nbsp;<b>mettre&nbsp;</b>(présent)	vous mettez
elles&nbsp;<b>mettre&nbsp;</b>(présent)	elles mettent
je&nbsp;<b>mettre</b>&nbsp;(passé composé)	j'ai mis
tu&nbsp;<b>mettre&nbsp;</b>(passé composé)	tu as mis
nous&nbsp;<b>mettre&nbsp;</b>(passé composé)	nous avons mis
je&nbsp;<b>mettre&nbsp;</b>(imparfait)	je mettais
elle&nbsp;<b>mettre&nbsp;</b>(imparfait)	elle mettait
vous&nbsp;<b>mettre&nbsp;</b>(imparfait)	vous mettiez
je&nbsp;<b>mettre&nbsp;</b>(futur simple)	je mettrai
tu&nbsp;<b>mettre&nbsp;</b>(futur simple)	tu mettras
il&nbsp;<b>mettre&nbsp;</b>(futur simple)	il mettra
nous&nbsp;<b>mettre&nbsp;</b>(futur simple)	nous mettrons
vous&nbsp;<b>mettre&nbsp;</b>(futur simple)	vous mettrez
ils&nbsp;<b>mettre&nbsp;</b>(futur simple)	ils mettront
<div style='font-weight: bold;'>prévoir</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div>	<div class=centered-block> Imaginer à l'avance comme probable (un évènement futur).&nbsp;Envisager (des possibilités).&nbsp;Organiser d'avance, décider pour l'avenir.&nbsp; </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Prévoir la pluie, qu'il pleuvra.&nbsp;Je l'avais prévu.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>pressentir,&nbsp;anticiper,&nbsp;préparer</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>predict, foresee, provide</div>
<div class=centered-block> Imaginer à l'avance comme probable (un évènement futur).&nbsp;Envisager (des possibilités).&nbsp;Organiser d'avance, décider pour l'avenir.&nbsp; </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div> 	<div style='font-weight: bold;'>prévoir</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Prévoir la pluie, qu'il pleuvra.&nbsp;Je l'avais prévu.</div>
<div style='font-weight: bold;'>s'attendre​​​ à&nbsp;(qqch.)</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe pronominal</div>	<div class=centered-block> Penser que cette chose arrivera.&nbsp; </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Il faut s'attendre à tout.&nbsp;Au moment où elle s'y attendait le moins.&nbsp;</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>prévoir,&nbsp;compter sur,&nbsp;croire,</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>expect</div>
<div class=centered-block> Penser que cette chose arrivera.&nbsp; </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe pronominal</div> 	<div style='font-weight: bold;'>s'attendre​​​ à&nbsp;(qqch.)</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Il faut s'attendre à tout.&nbsp;Au moment où elle s'y attendait le moins.&nbsp;</div>
<div style='font-weight: bold;'>attendre</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div>	<div class=centered-block> Se tenir, rester en un lieu (jusqu'à l'arrivée de qqn, de qqch.).&nbsp; </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Je vous attendrai chez moi jusqu'à midi.&nbsp;Attendre le train.&nbsp;Attendre sous un abri la fin de l'orage.&nbsp;On n'attend plus que vous pour partir.&nbsp;</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>exiger ;&nbsp;patienter,&nbsp;hésiter</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>wait</div>
<div class=centered-block> Se tenir, rester en un lieu (jusqu'à l'arrivée de qqn, de qqch.).&nbsp; </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div> 	<div style='font-weight: bold;'>attendre</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Je vous attendrai chez moi jusqu'à midi.&nbsp;Attendre le train.&nbsp;Attendre sous un abri la fin de l'orage.&nbsp;On n'attend plus que vous pour partir.&nbsp;</div>
je <b>prendre&nbsp;</b>(présent)	je prends
vous&nbsp;<b>prendre&nbsp;</b>(présent)	vous prenez
nous&nbsp;<b>prendre&nbsp;</b>(présent)	nous prenons
elles&nbsp;<b>prendre&nbsp;</b>(présent)	elles prennent
elle&nbsp;<b>prendre&nbsp;</b>(passé composé)	elle a pris
nous&nbsp;<b>prendre&nbsp;</b>(passé composé)	nous avons pris
je&nbsp;<b>prendre&nbsp;</b>(imparfait)	je prenais
elle&nbsp;<b>prendre&nbsp;</b>(imparfait)	elle prenait
nous&nbsp;<b>prendre&nbsp;</b>(imparfait)	nous prenions
vous&nbsp;<b>prendre&nbsp;</b>(imparfait)	vous preniez
ils&nbsp;<b>prendre&nbsp;</b>(imparfait)	ils prenaient
nous&nbsp;<b>prendre&nbsp;</b>(futur simple)	nous prendrons
nous <b>voir </b>(présent)	nous voyons
vous&nbsp;<b>voir&nbsp;</b>(présent)	vous voyez
ils&nbsp;<b>voir&nbsp;</b>(présent)	ils voient
ils&nbsp;<b>voir&nbsp;</b>(passé composé)	ils ont vu
tu&nbsp;<b>voir&nbsp;</b>(passé composé)	tu as vu
je <b>voir </b>(imparfait)	je voyais
tu&nbsp;<b>voir&nbsp;</b>(imparfait)	tu voyais
il&nbsp;<b>voir&nbsp;</b>(imparfait)	il voyait
nous&nbsp;<b>voir&nbsp;</b>(imparfait)	nous voyions
vous&nbsp;<b>voir&nbsp;</b>(imparfait)	vous voyiez
elles&nbsp;<b>voir&nbsp;</b>(imparfait)	elles voyaient
je<b> voir&nbsp;</b>(futur simple)	je verrai
tu&nbsp;<b>voir&nbsp;</b>(futur simple)	tu verras
il&nbsp;<b>voir&nbsp;</b>(futur simple)	il verra
nous&nbsp;<b>voir&nbsp;</b>(futur simple)	nous verrons
vous&nbsp;<b>voir&nbsp;</b>(futur simple)	vous verrez
elles&nbsp;<b>voir&nbsp;</b>(futur simple)	elles verront
<div style='font-weight: bold;'>soumettre</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div>	<div class=centered-block> Mettre dans un état de dépendance ; ramener à l'obéissance.&nbsp;Présenter, proposer à l'examen, au choix. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Soumettre des rebelles. Soumettre un manuscrit à un éditeur. Revenus soumis à l'impôt.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>assujettir ;&nbsp;exposer,&nbsp;offrir,&nbsp;présenter</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>submit, subject, subdue</div>
<div class=centered-block> Mettre dans un état de dépendance ; ramener à l'obéissance.&nbsp;Présenter, proposer à l'examen, au choix. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe transitif</div> 	<div style='font-weight: bold;'>soumettre</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Soumettre des rebelles. Soumettre un manuscrit à un éditeur. Revenus soumis à l'impôt.</div>
<div style='font-weight: bold;'>emblématique</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adjectif</div>	<div class=centered-block> <div>Qui représente qqch. de manière forte. Qui présente un emblème, se rapporte à un emblème.&nbsp;</div> </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>La colombe, figure emblématique de la paix.&nbsp;Un groupe emblématique du rock français.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>allégorique,&nbsp;symbolique ; iconique</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>iconic</div>
<div class=centered-block> <div>Qui représente qqch. de manière forte. Qui présente un emblème, se rapporte à un emblème.&nbsp;</div> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adjectif</div> 	<div style='font-weight: bold;'>emblématique</div> <br/> <div style='font-family: Arial; font-size: 16px;'>La colombe, figure emblématique de la paix.&nbsp;Un groupe emblématique du rock français.</div>
<div style='font-weight: bold;'>colombe</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div>	<div class=centered-block> Pigeon, considéré comme symbole de douceur, de pureté, de paix. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'></div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'></div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>dove</div>
<div class=centered-block> Pigeon, considéré comme symbole de douceur, de pureté, de paix. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div> 	<div style='font-weight: bold;'>colombe</div> <br/> <div style='font-family: Arial; font-size: 16px;'></div>
<div style='font-weight: bold;'>rapport​​​ (II)</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom masculin</div>	<div class=centered-block> Lien entre plusieurs objets distincts.&nbsp; </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Rapports de parenté.&nbsp;Établir un rapport entre deux faits.&nbsp;Je ne vois pas le rapport.&nbsp;</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>relation</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>relation</div>
<div class=centered-block> Lien entre plusieurs objets distincts.&nbsp; </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom masculin</div> 	<div style='font-weight: bold;'>rapport​​​ (II)</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Rapports de parenté.&nbsp;Établir un rapport entre deux faits.&nbsp;Je ne vois pas le rapport.&nbsp;</div>
<div style='font-weight: bold;'>rapport (I)</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom masculin</div>	<div class=centered-block> Action de rapporter (ce qu'on a vu, entendu)&nbsp;; récit, témoignage. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Des rapports indiscrets.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>compte rendu,&nbsp;récit,&nbsp;analyse</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>report, record</div>
<div class=centered-block> Action de rapporter (ce qu'on a vu, entendu)&nbsp;; récit, témoignage. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom masculin</div> 	<div style='font-weight: bold;'>rapport (I)</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Des rapports indiscrets.</div>
<div style='font-weight: bold;'>apparaître</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe intransitif</div>	<div class=centered-block> Devenir visible, distinct&nbsp;; se montrer soudainement.&nbsp;Commencer d'exister. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Nul ne sait où apparut le premier homme.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>se manifester,&nbsp;se montrer,&nbsp;se présenter,&nbsp;surgir</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>appear</div>
<div class=centered-block> Devenir visible, distinct&nbsp;; se montrer soudainement.&nbsp;Commencer d'exister. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe intransitif</div> 	<div style='font-weight: bold;'>apparaître</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Nul ne sait où apparut le premier homme.</div>
